+----------------------+----------------------------------------------------------------+----------------------------------------+--------------------------------+--------+
|          ID          |                              NAME                              |                 FAMILY                 |          PRODUCT IDS           | STATUS |
+----------------------+----------------------------------------------------------------+----------------------------------------+--------------------------------+--------+
| fd800n45ob5uggkrooi8 | debian-9-v20211213                                             | debian-9                               | f2e2skin3siruagto51r           | READY  |
| fd801atfoabmv16gbavp | sql-server-2019-enterprise-v20220117                           | sqlserver-2019-ent-win2019             | f2ecpm1qsi10jttmgof2           | READY  |
| fd801o3ggmftgcp0p6ls | windows-rds-5-licenses-v20211006                               | windows-2019-dc-gvlk-rds-5             | f2ebv29djksbbdh6hpns           | READY  |
| fd803574efskf64jq17g | atlas-biomed-1576590486                                        | atlas-biomed                           | f2ej7cppkd0tgcgfv2if           | READY  |
| fd803730irifbddaarmi | windows-server-2019-datacenter-v20220117                       | windows-2019-dc-gvlk                   | f2ee4tmkjq6t13e6da47           | READY  |
| fd803lrp5ob4raaggfdk | lemp-v20211103                                                 | lemp                                   | f2e2k33chv8tj53p8cbd,          | READY  |
|                      |                                                                |                                        | f2ebhtsvcfc5803kqs5i           |        |
| fd803m3q13t1k3bq7ca3 | sql-server-2019-enterprise-v20211220                           | sqlserver-2019-ent-win2019             | f2e21hh9n41e79if3mpi           | READY  |
| fd804mpmp6l0hm4ju14d | container-optimized-image-gpu-v20211111                        | container-optimized-image-gpu          | f2em4flkr1drhov6hjp2           | READY  |
| fd804nmi5gak42ae1dcq | debian-10-v20211124                                            | debian-10                              | f2eplucasqut7r1kfafp           | READY  |
| fd807ed79a4kkqfvd1mb | ubuntu-18-04-lts-vgpu-v20211013                                | ubuntu-1804-lts-vgpu                   | f2er8s0d2c32p41bg1g2           | READY  |
| fd808b5modcbs1emou1c | redmine-v20211020                                              | redmine                                | f2eeld18js58djg1hq1b,          | READY  |
|                      |                                                                |                                        | f2es49cpsep5btnp2vf0           |        |
| fd809bfjomj9a1dngteo | ubuntu-16-04-lts-gpu-v20211206                                 | ubuntu-1604-lts-gpu                    | f2efo8i2gnfjins8b304           | READY  |
| fd80bavtgpncasaqurfs | alice-1541162564                                               | alice                                  | f2eah2atuuq702svv11a           | READY  |
| fd80g3nn3tp32qmiva73 | windows-server-2012r2-datacenter-v20220117                     | windows-2012r2-dc-gvlk                 | f2e143uhfjtdnmqm1v0r           | READY  |
| fd80h46jlehgrq5pkhts | windows-server-2019-datacenter-vgpu-v20211213                  | windows-2019-gvlk-vgpu                 | f2eei4svmaiv8nd9lcvc           | READY  |
| fd80hsk3kc02mtihkou7 | windows-server-2016-datacenter-v20220110                       | windows-2016-dc-gvlk                   | f2elcj6e7j4c0pus3uge           | READY  |
| fd80hucmnud3dmbt17tg | windows-rds-500-licenses-v20211027                             | windows-2019-dc-gvlk-rds-500           | f2e8cgt6o3a9kfqecv7p           | READY  |
| fd80iibe8asp4inkhuhr | debian-10-1582618028                                           | debian-10                              | f2e581rjao9m2o4adjmg           | READY  |
| fd80jfslq61mssea4ejn | ubuntu-20-04-lts-gpu-v20211217                                 | ubuntu-2004-lts-gpu                    | f2epq8rrvl05qks529eh           | READY  |
| fd80le4b8gt2u33lvubr | centos-7-v20211220                                             | centos-7                               | f2eaujc3c3g545cncg0v           | READY  |
| fd80lh4u34p444cukq5h | ubuntu-18-04-lts-vgpu-v20211103                                | ubuntu-1804-lts-vgpu                   | f2eohifpk0koskk30i8b           | READY  |
| fd80lnp0srek01a7cpcu | ubuntu-20-04-lts-vgpu-v20211206                                | ubuntu-2004-lts-vgpu                   | f2e6lfo1lkjc7foq8t76           | READY  |
| fd80lqp9cp96q4nfae51 | container-optimized-image-1586329357                           | container-optimized-image              | f2enhr48fnru5k4gd30r           | READY  |
| fd80m2h15krph9b36mfg | container-optimized-image-1567699175                           | container-optimized-image              | f2e5i3c69q4vdui0agq5           | READY  |
| fd80mrhj8fl2oe87o4e1 | nat-instance-ubuntu-1559218207                                 | nat-instance-ubuntu                    | f2ec86u5podbrqc04jij           | READY  |
| fd80mrpnqp56f1pe86hn | fedora-34-v20220110                                            | fedora-34                              | f2e87eg9t5rc4i1mj4dp           | READY  |
| fd80mvcjdvpn051hrtqp | loginom-team-625-1575962351                                    |                                        | f2ek7fjruif2fj7db3i0           | READY  |
| fd80od21rjl4r3enr4sk | opencart-1613555947                                            | opencart                               | f2en1f6vjc4t6tkmk28k           | READY  |
| fd80q8thppcn2vj74g9m | hystax-optscale-0-1-1631433360                                 |                                        | f2emk0sigaj3jnd9esmq           | READY  |
| fd80qm01ah03dkqb14lc | ubuntu-20-04-lts-vgpu-v20211027                                | ubuntu-2004-lts-vgpu                   | f2ele5h01c3a6d5odmbi           | READY  |
| fd80rgetforuco4qs5up | sql-server-2019-enterprise-v20211006                           | sqlserver-2019-ent-win2019             | f2e6f0hjenr1u7sgeb5g           | READY  |
| fd80s5atj1quloqfr00f | centos-8-v20211220                                             | centos-8                               | f2ei56hf4iijkptldnnr           | READY  |
| fd80sucdv9d54imo9pqo | debian-10-gpu-v20211124                                        | debian-10-gpu                          | f2eja5o1qiqeue47viso           | READY  |
| fd80viupr3qjr5g6g9du | ubuntu-1804-lts-1623345209                                     | ubuntu-1804-lts                        | f2eflighfan5m00f4f2o           | READY  |
| fd814k6nlgobk70klpjn | ubuntu-20-04-lts-gpu-v20211006                                 | ubuntu-2004-lts-gpu                    | f2ekc6jvitdriv4oefho           | READY  |
| fd816g7v6kso22l4o3rr | hystax-acura-dr-3-8-1933-181021-1634741883                     |                                        | f2es9il5mocaih3r5u3e           | READY  |
| fd8174cmdehaoffu35s2 | ubuntu-18-04-lts-vgpu-v20211110                                | ubuntu-1804-lts-vgpu                   | f2euuts9dpeutucuq2bl           | READY  |
| fd8185bt8opb3rud9ufd | redmine-v20220103                                              | redmine                                | f2eh2sesq8kn0volspl1,          | READY  |
|                      |                                                                |                                        | f2ejhp5stk2d82k7ljeb           |        |
| fd818petl0g83pemo5p9 | ubuntu-20-04-lts-gpu-a100-v20220117                            | ubuntu-2004-lts-a100                   | f2ef4tchn4k1bo1v3lep           | READY  |
| fd81a49qficqvt0dthu8 | container-optimized-image-1569596963                           | container-optimized-image              | f2ek4kv71kma9vf9amat           | READY  |
| fd81alrt9c21vi1lm2t5 | ubuntu-16-04-lts-gpu-v20211117                                 | ubuntu-1604-lts-gpu                    | f2ebe1kjhbregdrnrpul           | READY  |
| fd81bdbrsfsiu4e29e32 | sql-server-2019-web-v20211117                                  | sqlserver-2019-web-win2019             | f2eomcc36anhsispa00u           | READY  |
| fd81cuup1o83ak0gclju | windows-rds-250-licenses-v20211020                             | windows-2019-dc-gvlk-rds-250           | f2e8dgmcu5599qlegp2o           | READY  |
| fd81d2d9ifd50gmvc03g | ubuntu-1804-1549468804                                         | ubuntu-1804                            | f2esunkmqrdb5qhdmaqe           | READY  |
| fd81d9ou5i979r2eg17f | windows-2019-gvlk-rds-25-1582213669                            | windows-2019-dc-gvlk-rds-25            | f2ep36lthsb29m268qom           | READY  |
| fd81eila8ttefnffs6cq | wordpress-1612983719                                           | wordpress                              | f2ebjuindc2quv6n33gv           | READY  |
| fd81eojlajq6adbjiu54 | lemp-v20220117                                                 | lemp                                   | f2e39q3imckcs9g72dgh,          | READY  |
|                      |                                                                |                                        | f2edagcg7bq833qm9j6u           |        |
| fd81f3n3j0r667oujqjo |                                                                |                                        | f2e29nqi3tu1fhp03d40           | READY  |
| fd81gtk9ulmoj7876t5p | pgpro-ent11111-centos7-x64-image-1614861564-1614861750         | pgpro-ent11-centos7                    | f2e7v2d3ptf1h2ovl60c           | READY  |
| fd81hgrcv6lsnkremf32 | ubuntu-20-04-lts-v20210908                                     | ubuntu-2004-lts                        | f2e4vkdnbdu1d3abiuto           | READY  |
| fd81hkvlkchmq82f38i8 | container-optimized-image-1583244600                           | container-optimized-image              | f2e5jtkircbbbkpjaoso           | READY  |
| fd81hqdhq74mr2714t8r | loginom-team-1565015906                                        | loginom-team                           | f2ev7ht6jd2nf993pse6           | READY  |
| fd81i82h0utt6icko4e1 | coreos-1582816831                                              | coreos                                 | f2erdanknmud1fpj564a           | READY  |
| fd81ik6j5vaofhb3utbn | container-optimized-image-1577390490                           | container-optimized-image              | f2eigclfhcjabip1llno           | READY  |
| fd81j3j7tg6bpa83s40m | ubuntu-18-04-lts-vgpu-v20211020                                | ubuntu-1804-lts-vgpu                   | f2e0h1u1mqkie9pndhid           | READY  |
| fd81jhli4cg601cvl9t9 | django-1537454584                                              | django                                 | f2eadduibefk9fer249k           | READY  |
| fd81ko8ukkl6pbk3j7kd | windows-rds-250-licenses-v20211227                             | windows-2019-dc-gvlk-rds-250           | f2e1ssatrqpf976ccnlg           | READY  |
| fd81lesr11r8ri7p0jjc | centos-8-v20211027                                             | centos-8                               | f2e39vr0u80ep2n57eb9           | READY  |
| fd81m9b3ii8dhqoo38go | debian-10-v20211213                                            | debian-10                              | f2e6eck8ud1sc1pm8b7q           | READY  |
| fd81n60jv88biv2s51vk | container-optimized-image-1613731567                           | container-optimized-image              | f2efqhf1gqd0qgurgj6o           | READY  |
| fd81nmkglspv3kmv0jgm | ubuntu-1404-lts-1579186813                                     | ubuntu-1404-lts                        | f2e5777o9o9eh82i1e7p           | READY  |
| fd81nn290h8iq7j061vo | centos-7-vgpu-v20211213                                        | centos-7-vgpu                          | f2el7mt51r4c6p9fqpas           | READY  |
| fd81ppl8sr8lpragcfu7 | windows-rds-50-licenses-v20210929                              | windows-2019-dc-gvlk-rds-50            | f2e81r7dosc3tomfjeba           | READY  |
| fd81qpqbgc9gbm3jpsnm | yc-windows-server-2016-datacenter-vgpu-v20210929               | windows-2016-gvlk-vgpu                 | f2etqob23o6v51mmrqdn           | READY  |
| fd81se0h4btfv7kbb0uh | windows-2019-gvlk-gpu-1606931900                               | windows-2019-gvlk-gpu                  | f2edsvs5o5o7ic4992cs           | READY  |
| fd81ueldu7lgebddipq3 | debian-9-1538734984                                            | debian-9                               | f2eak7a0rmmnn57jpfcd           | READY  |
| fd81vo3ttatr9sti8cu2 | wordpress-v20220117                                            | wordpress                              | f2e0kcn70fdv9p3frpcv,          | READY  |
|                      |                                                                |                                        | f2edagcg7bq833qm9j6u           |        |
| fd82014fae8b0e6ljtmq | redmine-1579876714                                             | redmine                                | f2e34o7p8907unhodgtp           | READY  |
| fd821m0esaedo1vs87fv | windows-rds-10-licenses-v20220117                              | windows-2019-dc-gvlk-rds-10            | f2e5bvhs9pvffvc5on6q           | READY  |
| fd822cdu6946c8hm802b | windows-server-2016-datacenter-v20211220                       | windows-2016-dc-gvlk                   | f2e4bbhsrbtfoct8j2nb           | READY  |
| fd823iqr8i3snulnmp90 | ubuntu-20-04-lts-vgpu-v20211103                                | ubuntu-2004-lts-vgpu                   | f2e33jk3o2b57haavm7l           | READY  |
| fd824mtomsm86vdkkjs6 | sql-server-2019-standard-v20211227                             | sqlserver-2019-std-win2019             | f2egm6g62djg8peisjqt           | READY  |
| fd825d726qogf5p9cmtj | sql-server-2017-enterprise-v20220110                           | sqlserver-2017-ent-win2016             | f2eu9qmm6c9g3osg689s           | READY  |
| fd826gevi7d0ihae0okj | lamp-v20220103                                                 | lamp                                   | f2euh9et842inbbq685i,          | READY  |
|                      |                                                                |                                        | f2ejhp5stk2d82k7ljeb           |        |
| fd827b91d99psvq5fjit | lamp-1579613975                                                | lamp                                   | f2eloje2q7i56ra04m6b           | READY  |
| fd8296vcofoglgepi6jk | redmine-v20211227                                              | redmine                                | f2e5b1rav9jvff5m0ti2,          | READY  |
|                      |                                                                |                                        | f2e0dielkout4htkle62           |        |
| fd829kmu4e28d5lt25r4 | windows-server-2016-datacenter-v20211117                       | windows-2016-dc-gvlk                   | f2e2dps7e8p2pshv2cp9           | READY  |
| fd82b6b1ust491bposln | windows-server-2019-datacenter-vgpu-v20211220                  | windows-2019-gvlk-vgpu                 | f2ep8k1659mal37ve2o9           | READY  |
| fd82b8qen6p7dri7kpi7 | ubuntu-20-04-lts-vgpu-v20211201                                | ubuntu-2004-lts-vgpu                   | f2ei7n4jb1nh9snbk8qt           | READY  |
| fd82ctgnkkr0tc9grsl7 | centos-8-v20211124                                             | centos-8                               | f2e5sulk3suae57luvp2           | READY  |
| fd82ffe4gk0s1eih507s | almalinux-v20210929                                            | almalinux-8                            | f2egn4ii2n8tcdv46v3f           | READY  |
| fd82hvagcm80p9c3ouhe | usergate-5-0-1606804581                                        |                                        | f2e25susbrv1h75kidab           | READY  |
| fd82jmar67qsu3drg0np | gitlab-13-7-3-v20211213                                        | gitlab                                 | f2e6mrv740pprqvh9ue0,          | READY  |
|                      |                                                                |                                        | f2e1riib7splejo2imtk           |        |
| fd82l7nmj9a3agn8e15r | windows-rds-10-licenses-v20211103                              | windows-2019-dc-gvlk-rds-10            | f2ed6fqs8kivlehvrpc3           | READY  |
| fd82o4hrthjatcgr16t8 | ksc12b-publish-ppu-1607684236                                  |                                        | f2eu2fknhp2voaabtg20           | READY  |
| fd82onh0bat400k7pqqm | hystax-cloud-agent-3-7-1701-mrkplc-1625841873                  | hystax-ca                              | f2ea7hipipp21s1va3ih           | READY  |
| fd82pj5dvehomsi1j5h9 | ubuntu-16-04-lts-v20210929                                     | ubuntu-1604-lts                        | f2ed62rcdqoviv96dc82           | READY  |
| fd82q5gukj9k6um7aa2u | wordpress-v20211020                                            | wordpress                              | f2ed8pc7gf53vsngmanl,          | READY  |
|                      |                                                                |                                        | f2es49cpsep5btnp2vf0           |        |
| fd82qa623qngjkndonba | ipsec-instance-ubuntu-1612970734                               | ipsec-instance-ubuntu                  | f2erqrhuq4u323qlivn0           | READY  |
| fd82qafo2eehjscepueh | container-optimized-image-1585297050                           | container-optimized-image              | f2e9tl23gigopf8rmkb7           | READY  |
| fd82qpa79epa79g0rll2 | windows-rds-10-licenses-v20211020                              | windows-2019-dc-gvlk-rds-10            | f2evq1braok21k1gsjap           | READY  |
| fd82r8j5rguta1iss30o | ubuntu-18-04-lts-gpu-v20211027                                 | ubuntu-1804-lts-gpu                    | f2evlhunaeok1qchiqv9           | READY  |
| fd82veq4nae9huj26jm2 | byol-gateway-r8040-1604998354-1604998782                       |                                        | f2eds07n3k1gs716j957           | READY  |
| fd830lmhttktrnssi1dg | centos-7-gpu-v20211103                                         | centos-7-gpu                           | f2eu8vqhnmdoaab32sak           | READY  |
| fd830qdfa0e02o67hetm | wordpress-v20220117a                                           | wordpress                              | f2e0kcn70fdv9p3frpcv,          | READY  |
|                      |                                                                |                                        | f2edagcg7bq833qm9j6u           |        |
| fd832o8fe1b9t6hhfnmr | container-optimized-image-1603872337                           | container-optimized-image              | f2eqef8rcrhtbbej9vo8           | READY  |
| fd832qqj6ubm9dhpbacb | redmine-v20211110                                              | redmine                                | f2ek2qdlavij85msafv3,          | READY  |
|                      |                                                                |                                        | f2egh8oqvoukiin7hhgs           |        |
| fd832tggeg2tl5fioraa | windows-2016-gvlk-gpu-1607071757                               | windows-2016-gvlk-gpu                  | f2erkpmv7rentah51ch1           | READY  |
| fd833q45aucu0afdc2vj | debian-9-1540564915                                            | debian-9                               | f2ebjgbftj3um2jn9qg6           | READY  |
| fd834cm7qejlbv8he8ok | debian-9-v20220117                                             | debian-9                               | f2e2hql4tv2imev2ct54           | READY  |
| fd836m2dltq3of7ekbq5 | windows-server-2022-datacenter-v20220110                       | windows-2022-dc-gvlk                   | f2e065j0b7q12d3ctmlo           | READY  |
| fd83718i23tdij00h61t | sql-server-2017-enterprise-v20211213                           | sqlserver-2017-ent-win2016             | f2e7f4krts0f1milr1k8           | READY  |
